Gender	Age	Mileage	Province	Claims
1	43	21.5	1	1
1	61	12.5	1	1
1	32	20.3	2	1
1	59	18.5	1	0
1	55	17	4	1
1	25	24.2	3	1
1	28	11.8	3	0
1	73	16.6	3	0
1	66	22	2	1
1	39	5.2	3	0
1	22	24.4	3	0
1	25	17	2	0
1	39	11.7	1	0
1	73	12.9	4	1
1	27	22	2	0
1	46	14.5	3	1
1	60	21	1	1
1	27	19.1	2	1
1	58	9.9	1	0
1	26	14.1	3	0
1	79	13.7	1	1
1	68	16.9	1	0
1	31	17.6	1	0
1	41	23.1	4	0
1	58	14.1	4	0
1	33	18.3	2	1
1	42	14.4	1	0
1	34	23.3	1	0
1	51	24.7	1	1
1	59	27.5	2	0
1	56	17.5	2	0
1	59	21.6	1	1
1	78	21.5	1	1
1	54	19	1	0
1	23	26	4	2
1	26	21.3	1	0
1	39	16.3	2	0
1	29	14.2	3	0
1	65	14.2	1	0
1	72	17.8	2	0
1	71	14.8	1	0
1	49	16	1	2
1	48	8	2	0
1	32	16.1	3	0
1	38	18.1	2	0
1	27	17.8	1	0
1	66	14.1	3	0
1	47	21.1	2	1
1	28	17.8	2	2
1	23	18.8	3	0
1	23	14.5	2	2
1	71	16.4	1	1
1	28	17.8	1	0
1	60	15.4	2	0
1	56	23	2	0
1	41	20	2	0
1	56	23.6	2	0
1	25	28.1	1	0
1	46	10.8	4	0
1	58	26.7	3	0
1	30	19.1	4	0
1	78	20.3	2	0
1	70	22.4	3	2
1	79	19.3	3	0
1	51	29.8	1	0
1	23	18.4	4	0
1	30	17.5	1	1
1	63	11.6	2	0
1	38	18.5	2	1
1	74	13.5	3	1
1	75	15.6	1	1
1	71	11.6	1	0
1	27	18.4	2	0
1	57	12.8	1	0
1	31	14.1	4	1
1	25	17.4	2	0
1	65	15.7	2	1
1	63	17.3	1	0
1	55	17.3	1	1
1	39	15.7	2	0
1	74	13.3	3	0
1	45	18.8	1	1
1	46	20	1	1
1	72	18.8	1	0
1	39	14.8	3	0
1	55	15.1	1	0
1	25	9.1	3	0
1	65	19.2	1	0
1	70	13.7	3	1
1	38	15.8	3	0
1	79	11.8	1	0
1	59	14.4	1	2
1	72	24.3	1	0
1	77	20.5	4	0
1	61	14.8	2	1
1	37	15.4	1	0
1	64	14.8	2	0
1	47	20.5	1	0
1	25	18.3	2	0
1	39	27.2	1	0
1	72	16.5	3	1
1	25	25.2	2	0
1	49	13.9	1	0
1	73	17.4	1	0
1	75	9.5	4	1
1	67	14.5	3	1
1	53	17.8	1	0
1	30	14.6	2	0
1	52	21.3	1	0
1	64	8.7	4	0
1	32	17.1	1	0
1	37	13.3	1	0
1	64	19.5	1	1
1	54	9.6	1	0
1	60	9.2	2	1
1	64	20.5	4	0
1	22	12.4	1	1
1	61	15.5	1	0
1	62	15.1	1	1
1	37	20.5	1	1
1	53	14.5	2	0
1	44	17.2	1	1
1	55	25.3	3	0
1	75	22.9	1	0
1	65	15.2	3	0
1	66	12.8	1	0
1	56	12.7	1	2
1	43	17.6	3	0
1	58	17.7	1	0
1	37	26.6	1	0
1	22	15.4	2	0
1	77	15.2	1	0
1	56	13.6	2	0
1	69	5.3	1	0
1	51	17.2	1	1
1	61	11.1	1	1
1	42	19.7	1	0
1	45	25.3	1	3
1	38	20.9	1	0
1	24	19.8	1	0
1	49	10.4	1	1
1	47	13.9	3	2
1	43	17.1	1	0
1	56	15.9	1	1
1	28	18	1	0
1	27	20	2	1
1	22	15.4	2	0
1	34	17.7	3	0
1	48	11	1	1
1	23	14.5	1	0
1	65	13.7	2	0
1	67	15.9	4	1
1	73	22.9	1	1
1	34	17.5	3	0
1	50	11.6	3	0
1	35	18.4	1	0
1	60	18.3	2	0
1	34	14.3	1	0
1	78	7	1	0
1	56	17.2	1	1
1	44	14.1	2	0
1	30	20.1	1	1
1	79	14.5	2	1
1	54	22.7	1	0
1	33	18.1	1	0
1	41	12.3	1	0
1	41	16	2	0
1	41	10.5	4	0
1	75	11.4	1	1
1	64	20.3	2	0
1	55	26.1	1	1
1	29	14.3	3	0
1	55	11.7	1	0
1	32	21.6	3	0
1	25	28.1	2	0
1	47	13	3	0
1	51	20.3	4	1
1	52	14.6	1	0
1	36	17	1	0
1	37	15	1	0
1	65	5.3	1	0
1	35	21.3	2	0
1	46	20.5	3	1
1	80	15.6	2	1
1	64	17	1	0
1	72	12.9	2	1
1	25	24	3	0
1	32	22.7	1	2
1	39	19.8	1	0
1	54	16.1	2	0
1	56	14.4	1	0
1	70	22.4	2	1
1	21	16.4	2	1
1	65	6.5	4	0
1	65	19.1	1	1
1	50	23	2	1
1	45	27.2	4	0
1	32	17.2	1	0
1	35	19.5	2	1
1	59	16.8	1	1
1	73	19.1	1	0
1	33	16.2	1	1
1	74	10.3	1	0
1	33	19.6	2	0
1	77	15	4	3
1	22	14.6	1	0
1	64	15.1	2	0
1	78	16	2	1
1	37	15.6	1	0
1	77	14.3	1	0
1	63	16.3	1	0
1	35	15.7	1	0
1	31	16.1	1	0
1	21	16.6	1	0
1	50	20.6	2	2
1	71	23.8	3	0
1	44	19.6	2	1
1	54	20.5	1	0
1	51	13.8	1	0
1	47	26.9	1	0
1	34	6.5	1	0
1	44	24	4	1
1	23	17.8	1	1
1	71	19.1	2	0
1	46	25.1	1	0
1	80	15.6	2	0
1	63	25.6	1	1
1	69	17	2	0
1	70	11	4	1
1	40	18.6	1	1
1	60	10.1	1	0
1	79	15.2	3	0
1	52	20.2	4	3
1	51	20.6	4	1
1	20	19.1	2	1
1	51	15.7	2	0
1	73	14.8	1	0
1	23	18.3	2	0
1	31	11.1	4	1
1	41	21.8	3	0
1	60	18.8	1	0
1	28	18.6	1	0
1	30	17.8	2	1
1	34	22.4	1	0
1	64	24.5	1	0
1	35	20.8	1	0
1	33	19.7	2	1
1	26	16.2	1	0
1	49	20	1	1
1	71	22.7	2	1
1	35	16.1	2	0
1	49	19.2	1	2
1	43	18.5	3	1
1	63	16.7	2	2
1	35	10.7	2	1
1	24	21.2	1	0
1	47	17	1	1
1	79	9.5	2	1
1	66	11.9	1	0
1	32	22.8	1	0
1	50	7.2	1	0
1	40	16.5	1	0
1	31	15	2	1
1	78	24.9	1	0
1	24	14.4	2	1
1	66	14.9	1	0
1	34	21.6	1	1
1	29	18.8	3	1
1	67	17.2	1	0
1	43	12.9	1	1
1	40	16.9	4	0
1	26	18.4	4	0
1	65	17	1	0
1	69	13.7	2	0
2	45	24.2	1	0
2	66	19	1	2
2	41	20.7	3	0
2	37	20	3	0
2	52	32.3	2	0
2	25	14	2	0
2	22	25.9	1	0
2	21	22.8	1	0
2	72	12.3	2	0
2	58	26.4	1	0
2	76	19.2	4	1
2	41	13.1	4	0
2	29	17	1	1
2	45	10.2	1	1
2	76	14.3	3	0
2	25	19.6	1	0
2	77	16.5	1	0
2	23	26.7	4	1
2	45	18.6	1	0
2	66	16.6	3	0
2	72	17.6	3	0
2	58	19.4	4	1
2	68	10.8	3	0
2	62	17.8	3	0
2	24	18.3	3	0
2	78	20.8	2	1
2	59	11	1	1
2	78	19.1	2	0
2	40	32.9	4	0
2	37	14.6	2	0
2	54	23.8	1	0
2	41	12.2	3	0
2	28	15.5	1	0
2	53	16.7	1	0
2	61	24.6	2	0
2	24	11.1	1	0
2	71	16.7	1	1
2	24	24.3	1	0
2	66	24.4	1	0
2	26	15.8	1	0
2	52	28	2	0
2	53	13.4	1	0
2	72	15.9	1	0
2	41	19.3	2	0
2	60	6	2	0
2	37	14.6	2	1
2	64	11.3	1	0
2	63	24.9	2	1
2	34	16.9	1	0
2	28	12.8	1	0
2	32	23.2	3	0
2	52	19.1	1	1
2	71	9.6	1	0
2	49	17.3	1	0
2	21	9.2	3	1
2	64	16.5	1	2
2	21	16.7	1	0
2	57	28.6	1	1
2	79	13.8	3	0
2	37	24	1	2
2	54	20.5	1	0
2	47	13.4	1	0
2	29	14	4	0
2	74	7.9	2	0
2	73	6.9	1	0
2	48	17.3	1	0
2	74	23	1	0
2	21	16.7	3	0
2	61	23.2	1	0
2	60	11.3	1	2
2	30	27.4	4	1
2	57	21.6	2	0
2	27	11.4	1	0
2	23	13.3	2	0
2	46	14.2	1	0
2	65	11	2	0
2	24	24.5	2	1
2	70	16.5	1	0
2	30	15.4	3	0
2	28	11.5	2	0
2	59	15.4	1	0
2	46	23.1	3	0
2	41	22.7	2	0
2	49	13.4	3	0
2	53	23.3	2	0
2	23	15.4	1	0
2	38	21.1	2	0
2	59	6.3	3	0
2	29	15.6	4	0
2	78	13.6	1	0
2	43	20.6	1	0
2	25	17.3	4	0
2	69	11.9	1	0
2	80	20.2	2	0
2	76	15.9	2	1
2	48	24	2	0
2	43	18.4	1	0
2	32	22.5	2	0
2	62	22.1	1	0
2	32	17.6	1	0
2	53	15.3	1	2
2	51	14.2	1	0
2	72	20.6	3	1
2	61	10.9	1	0
2	33	23.8	4	0
2	23	15.5	4	0
2	79	16.5	2	1
2	42	20.8	1	0
2	65	15.6	1	1
2	52	19.7	2	0
2	41	16.9	1	0
2	61	11.8	2	0
2	55	15	2	3
2	20	15.7	1	0
2	63	14.2	1	1
2	30	16.7	1	0
2	32	15.1	3	0
2	56	10.2	2	0
2	70	11.1	1	0
2	52	12.1	1	0
2	67	24.5	1	1
2	21	26.5	3	0
2	71	11.7	2	0
2	57	27.4	4	0
2	75	10.3	1	0
2	64	15.4	2	3
2	30	15.1	2	0
2	72	12.5	1	0
2	69	9.7	1	0
2	73	17.1	1	0
2	26	5.6	2	0
2	27	20.7	1	0
2	40	20.9	1	0
2	58	19.1	1	1
2	60	7.1	2	0
2	58	22.5	2	1
2	69	9.9	1	0
2	58	21.5	1	0
2	51	17.8	3	0
2	35	17.3	3	0
2	54	15.2	1	0
2	37	15.5	1	0
2	72	13.4	1	0
2	26	15.7	3	0
2	24	19.6	2	1
2	43	22.2	1	1
2	42	19.6	1	1
2	77	11.4	3	0
2	28	18.2	1	0
2	22	13.8	3	0
2	21	22.6	1	0
2	48	14.5	1	0
2	46	17.7	1	0
2	39	18.6	4	1
2	75	19.2	1	0
2	52	14.6	1	1
2	40	24	4	0
2	67	17.6	1	0
2	41	15.8	1	0
2	76	16.5	1	0
2	27	19.7	1	0
2	68	13.2	1	0
2	22	14.9	2	1
2	76	16.4	1	0
2	74	16.6	1	1
2	58	11.7	3	0
2	34	16.9	1	0
2	72	15.5	1	2
2	49	18.3	1	0
2	58	24.1	1	0
2	34	26.1	4	0
2	62	16	1	0
2	31	20.6	1	0
2	34	17.5	4	1
2	41	15.8	1	0
2	39	22.4	1	0
2	37	19.9	1	0
2	67	15.5	4	1
2	61	15.7	1	1
2	31	20.6	2	0
2	49	16.2	2	0
2	50	21.3	2	1
2	22	11.6	2	0
2	28	14.8	2	0
2	65	16.6	2	0
2	44	6.7	3	0
2	22	17.7	1	0
2	33	23.4	2	1
2	20	19.9	1	0
2	22	14	1	0
2	77	19.3	4	0
2	31	18.8	3	0
2	29	15.3	2	1
2	78	22.5	1	1
2	29	16.2	3	0
2	78	16.1	4	0
2	39	17.6	1	1
2	43	15.2	1	0
2	74	18.8	1	0
2	36	17.3	3	0
2	43	19.5	2	0
2	23	15.4	4	0
2	22	19.7	4	0
2	76	10.3	2	1
2	42	13.5	1	0
2	33	20.4	1	0
2	77	19.5	1	0
2	33	20.5	3	2
2	58	16.8	1	0
2	59	9.6	1	0
2	34	16.3	2	0
2	30	16.3	1	0
2	22	24.3	1	0
2	33	14.2	1	0
2	31	14.6	1	0
2	50	20.5	1	1
2	71	15.4	1	0
2	64	13.2	1	0
2	28	18.3	4	0
2	36	12.3	1	0
2	33	26.4	2	1
2	49	26.3	2	0
2	58	15.3	1	1
2	63	14.2	3	1
2	73	17.9	1	1
2	41	15.7	2	0
2	40	20.7	1	0
2	44	7.8	1	0
2	77	7.5	4	0
2	30	16.2	2	0
2	60	25.6	1	1
2	37	18.1	3	4
2	56	23.8	1	0
2	56	13.5	1	0
2	77	24.8	4	0
2	52	28.1	1	1
2	71	19.9	2	0
2	76	19.4	2	2
2	39	14.7	4	0
2	48	11.7	1	1
2	48	12.3	2	0
2	64	15.8	2	0
2	23	17.8	4	0
2	33	18.7	4	0
2	27	6.9	1	0
2	74	7.4	1	1
2	57	18.3	1	0
2	73	8.9	3	0
2	80	15.9	2	0
2	22	18.8	2	0
2	26	18.3	1	0
2	66	17.9	2	0
2	72	14.5	2	0
2	54	15.1	1	0
2	53	10.5	2	1
2	25	22.5	1	1
2	76	16.7	2	1
2	43	22.6	2	2
2	50	10.7	1	1
2	38	11.7	3	0
2	41	27.5	1	0
2	68	20.1	1	1
2	80	15.8	1	1
2	30	22.5	2	1
2	31	12	4	0
2	68	11.2	1	3
2	21	21.4	1	1
2	60	24.9	4	0
2	67	11.8	1	0
2	58	18	2	1
2	58	23.4	3	0
2	63	14.6	4	0
2	39	24.7	1	0
2	34	9.1	4	0
2	60	18.7	4	0
2	30	18.8	1	0
2	62	13	2	0
2	25	18	1	0
2	22	16.1	1	0
2	59	16.4	4	1
2	52	22.5	3	0
2	33	13.9	2	1
2	49	20.3	1	1
2	78	12.7	1	0
2	24	11.9	2	0
2	27	19	1	2
2	71	18	1	1
2	46	18.1	2	0
2	74	7.4	1	0
2	74	13.8	4	0
2	66	14.1	1	2
2	23	25.3	2	0
2	23	21.8	1	1
2	28	13.2	1	1
2	33	18.1	2	0
2	30	22.5	4	2
2	73	13.5	1	0
2	23	18	2	0
2	33	10.7	3	1
2	71	16.5	1	0
2	68	10.8	1	0
2	48	23.3	1	1
2	39	15	2	0
2	59	21.2	1	0
2	51	19.8	1	0
2	35	19.4	4	0
2	38	22.7	2	1
2	50	22.9	2	0
2	53	17.7	1	0
2	49	22.5	4	1
2	50	15.4	3	0
2	40	14.3	1	1
2	41	21.5	4	1
2	56	15.2	1	0
2	62	12.4	2	0
2	55	20.2	4	0
2	36	20.5	1	0
2	57	25.1	3	0
2	46	24.4	1	1
2	78	15.9	4	0
2	41	24.5	4	0
2	72	15.1	2	1
2	70	18.4	2	0
2	36	13.1	3	0
2	35	13.4	2	0
2	32	14.3	1	0
2	46	14.2	1	2
2	60	16	1	0
2	34	19.3	1	1
2	65	13.7	2	0
2	53	22.4	1	0
2	27	19.2	1	0
2	62	7.3	1	0
2	61	13.3	1	0
2	78	17.1	3	0
2	75	17.7	1	0
2	50	12.6	2	0
2	31	18.9	1	2
2	38	14.9	1	0
2	66	17.6	1	0
2	50	16.8	1	0
2	47	13.3	1	1
2	46	17.5	1	0
2	22	21.3	4	1
2	74	15.4	3	0
2	39	16.5	4	0
2	40	19.5	1	0
2	33	13.6	1	1
2	38	18.8	1	1
2	71	21.7	2	1
2	47	19.3	1	1
2	54	16.5	1	0
2	62	9.7	1	0
2	57	14.6	1	0
2	62	17.2	1	0
2	51	27	1	0
2	26	19.5	1	0
2	47	18.1	1	0
2	62	17.5	3	0
2	21	12.4	2	0
2	44	16.8	3	1
2	47	23.1	4	2
2	70	13.3	3	0
2	53	24.2	1	2
2	78	16	2	0
2	59	15.6	1	0
2	74	19.7	2	0
2	73	18	1	0
2	48	26.2	1	1
2	53	19.6	3	0
2	54	17.3	2	0
2	78	14.9	4	0
2	22	20.8	1	0
2	68	16.4	2	0
2	22	22.8	1	0
2	36	19.9	1	0
2	33	17.4	1	2
2	41	15.4	1	0
2	48	21.4	3	0
2	50	25	2	0
2	54	17.3	1	0
2	53	12.2	2	0
2	22	20.3	2	0
2	54	21.2	1	1
2	27	23.9	3	0
2	31	16.2	2	1
2	59	8.5	1	0
2	34	17.6	2	3
2	49	15.1	1	0
2	70	17.4	3	1
2	73	12	3	0
2	60	16.7	1	0
2	76	20.4	1	1
2	61	10.8	1	0
2	31	20.1	2	0
2	33	14.8	1	0
2	33	18.1	2	0
2	26	24.1	4	1
2	45	21.2	4	0
2	47	19	2	0
2	48	27.1	1	1
2	36	12.9	1	0
2	38	12.7	4	0
2	25	10.1	1	1
2	73	14.4	1	0
2	34	18.3	1	1
2	65	9.8	1	0
2	53	26.1	1	0
2	39	17.7	4	0
2	21	14.4	1	0
2	21	26.2	2	0
2	60	16.7	3	0
2	43	15.2	4	1
2	33	9.4	4	0
2	54	29.8	1	1
2	61	17.8	2	0
2	40	16.3	2	1
2	35	18.2	2	0
2	29	20.2	1	1
2	24	10.5	1	0
2	30	11.2	2	0
2	31	16.2	1	1
2	48	20.1	4	0
2	72	15.7	2	0
2	54	19.4	4	1
2	52	15.9	1	1
2	78	8.2	4	0
2	25	21.2	3	1
2	34	15	1	0
2	67	16.6	2	0
2	38	19.6	3	1
2	71	17.4	1	1
2	55	13.9	1	0
2	32	12.6	1	1
2	52	15	1	1
2	70	14.4	2	0
2	36	14.2	4	0
2	49	11.3	4	0
2	67	21.7	1	0
2	40	16.8	3	0
2	25	17.6	1	0
2	56	17.2	1	0
2	68	13.1	1	0
2	27	21.9	4	1
2	56	10.6	1	0
2	31	13.9	1	0
2	29	16.5	1	0
2	40	19.8	1	1
2	54	20.8	2	1
2	63	17.2	1	1
2	73	18.2	1	0
2	54	18.4	1	1
2	78	16.1	1	0
2	54	20.2	1	0
2	28	15.4	1	0
2	55	18.1	1	0
2	77	18.4	1	0
2	38	17.7	2	0
2	56	18.3	2	0
2	36	21.7	2	0
2	67	15	4	0
2	21	26	1	0
2	71	9.8	1	0
2	27	13.6	1	0
